===== INFORME DE RED =====
IP local: 10.0.2.15
CIDR: /24
Máscara: 
Broadcast: 10.0.2.255
==========================

Analizando IPs libres...
10.0.2.1 LIBRE
10.0.2.2 OCUPADA
10.0.2.3 OCUPADA
10.0.2.4 LIBRE
10.0.2.5 LIBRE
10.0.2.6 LIBRE
10.0.2.7 LIBRE
10.0.2.8 LIBRE
10.0.2.9 LIBRE
10.0.2.10 LIBRE
10.0.2.11 LIBRE
10.0.2.12 LIBRE
10.0.2.13 LIBRE
10.0.2.14 LIBRE
10.0.2.15 OCUPADA
10.0.2.16 LIBRE
10.0.2.17 LIBRE
10.0.2.18 LIBRE
10.0.2.19 LIBRE
10.0.2.20 LIBRE
10.0.2.21 LIBRE
10.0.2.22 LIBRE
10.0.2.23 LIBRE
10.0.2.24 LIBRE
10.0.2.25 LIBRE
10.0.2.26 LIBRE
10.0.2.27 LIBRE
10.0.2.28 LIBRE
10.0.2.29 LIBRE
10.0.2.30 LIBRE
10.0.2.31 LIBRE
10.0.2.32 LIBRE
10.0.2.33 LIBRE
10.0.2.34 LIBRE
